word,ML,HW
apologising,0,1
apologize,2,0
apology,2,1
apostrophe,0,1
apothecaries,1,0
apothecary,1,0
appall,1,0
appalled,1,0
appalling,1,0
apparel,3,0
apparition,16,3
apparitions,1,1
appeal,3,1
appear,19,4
appearance,32,5
appearances,0,1
appeared,67,9
appearing,7,1
appears,3,1
appease,1,0
appeased,0,2
appeases,1,0
appellations,1,0
appetite,6,1
appetites,2,0
applauded,4,0
applause,2,0
applicable,3,3
application,4,0
applied,4,0
apply,5,2
applying,0,1
appointed,9,0
appointing,0,1
appointment,1,0
apprehend,4,1
apprehended,1,2
apprehending,2,2
apprehension,20,1
apprehensions,16,5
apprehensive,3,3
apprised,1,2
apprising,1,0
apprized,1,0
approach,27,3
approached,21,5
approaches,1,0
approaching,20,2
approbation,7,4
appropriate,2,0
approve,4,3
approved,5,0
approving,2,0
april,1,0
apt,1,0
aquiline,1,0
arabian,1,0
arch,4,0
archer,2,0
archers,16,0
archive,13,13
ardent,9,0
ardently,1,0
ardour,5,0
argue,2,1
argument,8,1
arguments,10,0
arise,1,1
arisen,0,1
arm,38,7
armed,9,2
armest,0,1
armour,2,12
armoury,0,1
arms,79,9
army,1,0
arose,4,1
arragon,0,1
arrange,3,0
arranged,8,0
arrangement,1,0
arranging,3,0
array,2,1
arrayed,3,0
arrest,1,0
arrested,4,0
arresting,1,0
arrival,29,7
arrive,9,0
arrived,40,8
arrives,2,0
arriving,2,1
arrow,2,1
arrows,3,0
art,19,49
artful,2,3
artfully,4,0
article,0,1
articles,1,0
articulate,2,0
articulated,0,1
artifice,5,0
artifices,2,0
artificial,3,0
artless,4,0
arts,8,0
ascend,3,0
ascendancy,2,0
ascended,12,2
ascendency,1,0
ascending,5,0
ascent,1,0
ascertain,3,0
ascertaining,2,0
ascii,2,2
ascribe,1,0
ascribed,2,0
ashamed,9,4
ashes,2,1
aside,12,3
ask,14,18
asked,14,11
asking,4,0
asks,0,1
asleep,4,0
aspect,2,0
asperity,0,1
aspiring,0,1
assailed,2,0
assailing,1,0
assassin,5,1
assassination,3,1
assassins,7,1
assay,1,0
assemble,1,0
assembled,5,3
assembles,1,0
assembling,2,0
assembly,2,0
assent,1,0
assented,2,0
assert,2,0
asserted,1,0
asserting,1,0
assertion,2,0
assertions,4,0
assiduity,1,0
assiduous,0,1
assiduously,1,0
assign,3,0
assignations,1,0
assigned,2,0
assist,7,7
assistance,36,7
assistant,1,0
assistants,0,2
assisted,7,3
assisting,0,2
associated,8,8
associates,5,0
assuaging,0,1
assume,5,0
assumed,7,1
assuming,2,1
assurance,6,0
assurances,4,0
assure,8,1
assured,41,8
assuring,3,0
astonish,2,0
astonished,6,4
astonishing,2,0
astonishment,12,5
astrologer,1,1
asunder,0,1
asylum,4,0
ate,1,0
atheism,1,0
atheist,1,0
athwart,1,0
atmospheres,1,0
atone,2,3
atonement,1,0
atrocious,1,0
attached,14,1
attachment,14,1
attack,5,0
attacked,2,1
attacking,2,0
attacks,2,0
attaining,0,1
attempt,26,0
attempted,16,1
attempting,2,0
attempts,12,0
attend,7,11
attendance,2,1
attendant,4,0
attendants,20,15
attended,16,6
attending,7,1
attends,1,0
attention,60,6
attentions,12,0
attentive,6,2
attentively,6,3
attest,0,1
attested,1,0
attitude,7,1
attitudes,5,0
attract,2,0
attracted,13,0
attractions,2,0
attracts,1,0
attribute,1,0
attributed,3,2
audacious,0,4
audible,10,0
audibly,4,0
audience,9,2
auditor,6,0
auditors,7,0
aught,2,11
augment,3,0
augmented,2,0
aunt,35,0
austerity,4,1
austrian,1,0
authentic,0,1
author,6,13
authorise,2,1
authorised,2,2
authorises,2,1
authorising,1,0
authority,2,4
authorize,5,0
authorized,1,0
authorizing,1,0
authorship,1,0
auto,4,0
avail,2,1
available,2,2
availed,1,0
avarice,1,0
avaunt,1,0
ave,2,0
avenue,0,1
aversion,5,3
averted,1,0
averting,0,1
avidity,8,0
avoid,13,7
avoided,6,1
avoiding,3,1
avow,7,1
avowal,8,1
avowed,4,0
await,0,3
awaited,2,1
awake,7,0
awakened,2,0
aware,19,1
away,94,15
awe,14,2
awful,4,2
awhile,1,0
awkward,1,1
awn,1,0
awoke,4,0
axe,1,0
ay,0,3
aye,5,0
b,1,1
babbling,0,1
babe,1,0
babes,1,0
baby,4,0
backed,0,1
backs,2,0
backwarder,1,0
backwards,5,3
bacon,1,0
bad,29,3
bade,1,3
baffle,2,0
baffled,4,0
baggage,4,0
balance,1,0
baleful,2,0
ballad,9,0
ballads,2,0
balls,0,1
band,12,0
bandage,4,0
bandied,1,0
banditti,15,0
bane,2,0
banish,3,1
banished,6,0
banister,0,1
bank,6,0
banker,2,0
banks,6,0
banner,0,1
banners,1,0
banquet,0,2
baptiste,33,0
bar,1,0
barbara,3,0
barbarian,3,0
barbarity,3,0
barbarous,5,0
barber,1,0
bare,1,0
barely,1,0
bark,2,0
barking,1,0
barn,10,0
baron,43,0
baroness,45,0
barony,1,0
barred,1,0
barrier,1,0
barriers,3,0
bars,2,0
barsisa,1,0
barter,1,0
bartered,1,0
basco,1,0
base,6,0
based,2,2
basely,0,1
baseness,3,0
basest,1,0
bashful,1,0
bashfulness,1,0
basis,1,0
basket,23,0
bason,1,0
basons,1,0
bastard,0,2
bat,2,0
bath,1,0
bathe,3,1
bathed,5,1
bathing,2,0
battered,1,0
battery,1,0
battle,4,0
battlements,1,2
bauble,0,1
bavaria,3,0
bead,1,0
beads,8,2
beaks,1,0
beam,6,0
beamed,2,0
beams,17,0
bear,37,7
beard,1,0
bearded,0,1
bearing,3,3
bears,1,0
beasts,1,0
beat,14,2
beating,3,0
beatrice,15,0
beats,1,0
beauteous,2,4
beauties,6,2
beautiful,21,2
beauty,34,2
beavers,0,1
beckoned,5,0
bed,99,5
bedew,3,0
bedewed,0,1
bedside,10,1
befall,0,1
befriend,0,1
beg,7,2
began,31,7
beggar,4,0
beggars,3,0
beggary,2,0
begged,8,1
begging,1,1
begin,6,0
beginning,3,2
begone,3,2
begotten,1,0
beguile,1,0
beguiled,2,0
begun,2,0
behalf,4,0
behaved,2,0
behaviour,8,6
beheld,42,8
behest,0,1
behests,0,1
behold,17,10
beholder,1,0
beholders,1,1
beholding,5,1
behoved,1,0
behoves,1,0
beings,2,1
belerma,5,0
belief,4,2
believe,37,17
believed,25,4
believes,2,2
believing,3,4
bell,22,1
belong,1,0
belonged,4,0
belonging,3,2
belongs,4,0
beloved,15,2
belt,1,0
belye,1,0
bench,1,3
benches,2,0
bend,7,1
bended,1,0
bending,2,0
beneath,25,5
benedict,1,0
benediction,3,0
benedictions,5,0
benefactors,1,0
benefactresses,1,0
beneficent,0,1
benefit,8,1
benefited,1,0
benefits,4,1
benevolence,2,1
benignity,3,0
benignly,0,1
bent,39,0
bequeath,1,0
bequeathed,0,1
bequest,3,0
bereave,1,0
bertha,2,0
beseech,2,0
besieged,1,0
besought,17,3
bespeak,0,1
bespeaks,0,1
bespoke,0,2
best,15,3
bestow,8,2
bestowed,9,2
bestowest,0,1
bestowing,0,1
betaken,1,0
betide,2,0
betiding,0,1
betook,5,0
betray,11,3
betrayed,19,1
betrayer,1,0
betraying,5,0
betrothed,0,1
better,45,13
betwixt,0,1
beverage,1,0
beware,6,0
bewilder,0,1
bewildered,10,1
bewitched,2,0
bewitching,1,0
bianca,0,65
bible,8,0
bid,13,4
bidding,1,0
bids,3,0
bier,3,0
big,2,2
billows,4,0
binary,1,1
bind,2,1
binding,2,1
binds,1,0
bird,2,0
birth,12,2
birthday,0,1
bit,1,0
bite,1,0
biting,1,0
bitter,9,6
bitterest,3,2
bitterly,3,0
bitterness,3,0
blab,1,0
black,10,7
blacker,1,0
blackest,2,0
blackness,1,0
blacks,1,0
blade,0,1
blades,1,0
blair,2,0
blame,6,1
blameable,1,0
blamed,6,1
blameless,1,0
blaming,2,0
blandishments,1,0
blasphemies,3,0
blasphemy,4,0
blast,3,0
blasted,4,0
blasts,0,1
blaze,5,2
blazed,1,0
blazing,2,0
blazoned,1,0
bleeding,15,2
bleeds,1,0
blemish,1,0
blend,0,1
bless,8,9
blessed,11,8
blessing,5,3
blessings,5,1
blest,1,2
blew,2,0
blights,1,0
blind,9,1
blinded,3,1
blindly,1,0
blindness,1,1
bliss,12,0
blissful,1,0
bloated,1,0
blockhead,0,1
blockheads,0,2
blondel,1,0
blood,53,25
bloodless,1,0
bloody,3,3
bloom,2,0
blooming,2,0
blooms,1,0
blossoms,1,0
blot,1,0
blow,2,2
blowing,1,0
blows,3,0
blue,15,0
blundering,0,1
blunt,1,0
blunted,1,0
blush,15,0
blushed,3,5
blushes,4,0
blushing,4,0
board,1,1
boarded,0,1
boarder,1,0
boast,3,2
boasted,4,1
boasts,3,0
bodies,9,0
bodily,1,0
body,36,2
boil,0,1
boiled,1,0
boiling,1,0
bold,8,1
boldly,3,3
boldness,2,2
bolt,10,0
bolted,2,1
bolts,1,0
bombast,0,1
bond,2,0
bondage,0,1
bonds,4,1
bones,10,0
book,23,0
books,5,1
boon,2,1
boots,0,1
booty,3,0
borders,4,0
bore,19,4
born,11,5
borne,6,3
borrowed,2,1
bosom,135,4
bosoms,1,0
botany,1,0
bottle,7,0
boughs,2,0
bought,2,0
bound,14,7
bounded,1,0
bounden,0,1
boundless,2,0
bounds,6,0
bounties,0,1
bourn,1,0
bow,2,1
bowed,6,2
bower,5,0
bowers,3,0
bowl,1,0
bowls,1,0
bows,1,0
box,1,0
boy,11,7
boys,8,0
brace,1,0
braggart,0,1
brain,11,2
brained,1,0
brains,1,1
branch,3,0
branched,1,0
branches,1,0
branching,1,0
brand,1,0
branded,1,0
brandy,1,0
brass,0,3
brat,1,0
bravado,0,1
brave,8,2
bravely,1,0
braver,1,0
bravery,0,1
bravest,1,1
bravo,5,0
bravoes,1,0
brawny,1,0
brazen,0,2
breach,4,2
bread,5,0
break,19,3
breaking,7,1
breaks,1,0
breast,28,7
breasts,3,0
breath,16,0
breathe,9,1
breathed,10,1
breathing,1,0
breathless,3,4
bred,3,0
breed,1,0
breeding,1,0
breeze,5,0
brethren,4,4
bribe,1,0
bribed,1,1
bribes,1,0
bribing,0,1
bridal,2,0
bride,15,2
bridegroom,4,4
bridle,1,0
brief,0,3
briefly,3,1
brigands,3,0
bright,11,0
brightness,6,0
brilliance,4,0
brilliant,7,0
brimstone,1,0
bring,13,5
bringest,0,1
bringing,5,0
brings,5,0
brink,11,2
bristling,1,0
broad,6,0
broiling,1,0
broke,13,3
broken,21,2
brook,0,1
brothel,1,0
brother,39,14
brotherhood,1,0
brothers,2,0
brought,32,16
brow,10,0
browed,1,0
brown,2,0
brows,3,0
bruised,2,0
brutal,1,0
brutality,2,0
brute,1,0
brutes,1,0
building,7,2
built,2,1
bulk,2,0
bull,6,0
bundle,3,0
buoyed,1,0
burden,0,1
burial,5,1
buried,19,4
buries,1,0
burlesque,2,0
burlesqued,1,0
burn,3,0
burned,5,2
burning,18,0
burns,2,0
burnt,4,1
burst,10,4
bursting,2,1
bursts,2,0
burthen,3,1
burthened,1,0
burthens,1,0
bury,3,2
burying,4,0
bush,2,0
busied,9,1
business,32,7
bustle,2,0
busy,1,0
busying,1,0
buy,1,0
bye,2,0
bystander,0,1
c,2,1
cabinet,3,0
caelia,1,0
cain,1,0
calamities,2,3
calamitous,0,2
calamity,1,2
calculate,1,1
calculated,14,1
calderona,1,0
calendar,1,0
called,32,4
calling,3,3
calls,1,1
calm,15,1
calmed,4,0
calmly,2,2
calmness,1,0
came,34,32
camest,0,4
camilla,18,0
candid,1,0
candidate,1,0
candle,6,0
candour,1,1
canst,0,10
canvas,1,0
capable,9,3
capacities,0,1
capacity,1,0
caprice,0,1
capricious,2,0
captain,0,1
captains,0,1
captivate,1,0
captivating,1,0
captive,9,1
captives,2,0
captivity,4,3
capuchin,10,0
capuchins,13,0
card,4,1
cardinal,15,0
care,49,9
career,1,0
careful,4,0
carefully,21,0
carelessly,2,0
cares,5,1
caresses,5,0
carest,1,0
carnal,0,1
caro,1,0
carols,1,0
carriage,20,0
carriages,2,0
carried,14,9
carries,2,0
carry,10,5
carrying,2,1
cartel,0,1
cascade,1,0
case,13,2
casement,4,6
casements,1,0
casket,1,0
casque,0,8
cast,21,7
casting,2,2
castle,70,81
castles,2,0
casts,1,0
casual,1,0
casuist,1,0
catalogue,1,0
catastrophe,2,7
catch,5,0
catches,1,0
catching,1,1
catharine,1,0
cathedral,17,1
catherine,1,0
catholic,1,0
caught,23,2
cause,56,28
caused,7,1
causeless,0,2
causes,3,0
causing,0,1
caution,9,0
cautious,5,1
cautiously,3,0
cavalcade,0,1
cavalier,10,1
cavaliers,12,0
cave,7,2
cavern,30,4
caverns,9,1
caves,1,1
cavity,0,1
cease,8,2
ceased,26,3
ceasing,1,0
cede,0,1
ceiling,1,0
celebrate,1,1
celebrated,9,0
celebrating,1,0
celebration,0,1
celestial,1,0
celi,3,0
celibacy,1,0
cell,38,1
cells,5,1
cemetery,7,0
censorious,0,1
censure,1,1
censures,0,1
centre,1,1
centuries,1,0
century,4,0
ceremonial,0,1
ceremonies,3,0
ceremony,9,1
certain,29,6
certainly,11,6
certainty,3,1
chace,1,0
chafe,1,0
chafing,1,0
chagrin,3,0
chain,10,1
chained,6,0
chains,12,1
chair,21,0
chairs,2,0
chaise,9,0
challenge,0,2
challenged,1,0
challenges,0,1
chamber,82,52
chamberlain,0,1
chambers,3,0
champagne,2,0
champion,1,2
chance,10,1
chanced,1,0
chandler,1,0
change,19,1
changeable,1,0
changed,6,1
changes,1,0
changing,7,2
chaos,2,0
chapel,21,5
chaplain,0,7
chaplet,5,0
chapter,12,6
character,30,3
characters,4,2
charge,22,10
charged,5,1
charges,2,1
charitable,3,1
charitably,0,1
charities,1,2
charity,6,4
charm,13,0
charmed,3,1
charming,8,2
charms,41,6
chase,1,1
chased,2,0
chasm,1,1
chaste,1,1
chastisement,3,0
chastity,5,0
chaunt,4,0
chaunted,4,0
chaunting,3,0
che,2,0
chear,1,0
chearful,1,0
check,4,5
checked,0,1
checks,1,1
cheek,30,2
cheeks,13,1
cheer,1,0
cheered,0,1
cheerful,0,1
cheerfully,0,1
cheerless,2,0
cherish,3,3
cherishes,1,0
cherry,1,0
cherubims,1,0
chest,5,0
chestnut,0,1
chicken,4,0
chickens,1,0
chid,1,0
chief,5,5
chiefly,2,0
chieftain,1,0
child,41,32
childbed,0,1
childhood,1,1
childish,7,0
childless,0,1
children,17,6
chilled,1,0
chillness,4,0
chimaera,2,0
chime,2,0
chimed,1,0
chimerical,1,0
chimes,1,0
chimoeras,1,0
chin,1,0
chit,1,0
chivalry,0,1
chloe,1,0
choaked,8,0
choice,9,2
choicest,1,0
choir,1,1
choked,0,1
choler,0,1
choose,2,1
chooses,1,0
choosest,0,1
choosing,1,0
chords,5,0
choristers,6,0
chorus,5,0
chose,7,0
chosen,6,1
christ,9,0
christian,1,4
christoval,27,0
chronicles,2,0
church,44,28
churchman,1,0
chuse,1,0
cientipedoro,2,0
circle,11,0
circles,2,0
circlets,1,0
circuit,0,1
circulate,1,0
circulated,2,0
circumlocution,1,0
circumstance,27,6
circumstanced,0,1
circumstances,27,7
circumstantially,2,0
cisternas,36,0
city,6,1
civil,3,0
civilities,3,0
civility,0,1
clad,0,2
claim,17,10
claimed,1,0
claims,1,1
clamour,1,0
clamours,0,1
clandestine,1,0
clank,0,1
clap,3,4
clapped,2,3
clare,70,0
clashing,1,0
clasp,3,0
clasped,18,1
clasping,3,1
classes,2,0
clatter,0,1
clattering,0,1
claude,16,0
clay,0,1
clear,16,2
cleared,6,0
clearer,2,0
clearest,1,0
clearing,1,0
clearly,2,1
cleopatra,1,0
climate,1,0
climates,1,0
climes,1,0
cloak,5,0
cloaked,1,0
cloaks,2,0
cloathed,1,0
cloathes,1,0
cloaths,1,0
clock,16,0
clogging,1,0
cloister,5,3
cloisters,1,2
close,15,2
closed,34,4
closely,10,0
closeness,1,0
closet,17,0
closing,5,2
cloth,5,0
clothed,1,1
cloud,6,0
clouded,3,1
cloudless,1,0
clouds,12,1
cloys,1,0
clue,2,1
clump,1,0
clusters,1,0
co,1,2
coach,5,0
coarse,2,0
coarsest,2,0
coast,2,4
coasts,1,0
cobwebs,1,0
codes,1,1
coello,1,0
coffin,1,0
cognisance,0,1
coincide,1,0
coinciding,0,1
coined,1,0
coke,0,1
cold,45,4
colder,1,0
coldest,1,0
coldly,2,0
coldness,3,1
collar,0,2
collation,1,0
collect,2,0
collected,2,0
collecting,0,1
collection,6,4
colonnade,1,0
colossal,1,0
colour,8,1
coloured,6,2
colouring,1,1
colours,18,2
column,5,0
columns,4,0
combat,3,5
combated,3,2
combating,1,0
combine,1,0
combined,5,0
come,59,43
comedy,2,0
comely,0,1
comers,2,0
comes,14,7
comfort,26,9
comfortable,3,0
comforted,4,1
comforting,1,1
comfortless,2,0
comforts,4,0
coming,10,2
command,13,8
commanded,8,4
commandest,0,1
commanding,5,1
commands,10,4
commenced,1,1
commend,0,2
commendation,1,0
commended,1,0
commends,0,1
commerce,2,0
commercial,1,1
commiserate,0,1
commiseration,0,1
commission,4,1
commissioned,4,0
commit,5,0
commits,1,0
committed,23,2
committing,3,0
common,9,2
commonly,1,0
communicate,4,0
communicated,14,0
communicating,5,0
communications,1,0
communicative,1,0
communing,0,1
community,4,0
compact,2,0
companion,30,1
companions,17,2
company,16,11
comparison,1,0
compass,1,1
compassion,30,2
compassionate,6,0
compel,1,0
compell,2,0
compelled,18,0
compels,1,0
compensated,1,0
compilation,1,1
complain,4,4
complaining,1,0
complaint,4,0
complaints,7,0
complaisance,2,0
complaisant,1,0
compleat,1,0
compleated,1,0
compleatly,6,0
complete,0,4
completely,2,0
completion,1,1
complexion,3,0
compliance,12,7
compliances,0,1
complied,10,1
complies,1,0
compliment,7,0
compliments,7,0
comply,14,7
complying,6,3
comport,0,1
comported,0,1
compose,4,1
composed,12,3
composing,1,0
composition,2,1
compositions,2,0
compostella,1,0
composure,1,0
comprehend,1,1
comprehended,1,1
comprehending,1,0
comprehension,0,1
comprehensive,0,1
compressed,1,1
comprise,1,0
compunction,0,2
computed,2,0
computer,2,2
computers,2,2
comrade,0,3
comrades,1,1
conceal,38,7
concealed,50,6
concealing,7,0
concealment,6,1
conceals,1,0
conceive,7,3
conceived,6,6
conceives,1,0
conceiving,0,2
concept,2,2
concern,5,4
concerned,3,1
concerning,2,2
concerns,2,0
concert,0,2
concerted,0,1
concerting,1,1
conciliate,1,0
conclude,1,1
concluded,13,6
concluding,1,6
conclusion,10,0
conclusions,2,0
concubine,2,0
concurred,0,4
concurrence,0,1
concurring,0,1
concussion,1,0
condemn,1,1
condemnation,1,0
condemned,4,2
condemning,1,0
condescended,1,0
condescension,1,0
condition,9,3
conditions,6,0
condole,0,1
condoling,0,1
conduce,0,1
conduct,37,10
conducted,21,9
conducting,4,1
conductor,4,0
conductors,1,0
conductress,3,0
condé,17,0
confections,1,0
confederacy,1,0
confederate,0,1
confer,2,1
conference,2,1
conferred,2,0
conferring,1,0
confess,23,2
confessed,6,2
confesses,2,0
confession,18,3
confessional,2,0
confessions,1,0
confessor,11,3
confest,1,0
confidante,0,1
confide,6,0
confided,3,0
confidence,26,5
confident,5,0
confiding,2,0
confine,6,0
confined,19,1
confinement,5,0
confining,2,0
confirm,2,6
confirmation,4,1
confirmed,10,2
confirming,0,1
confirms,1,1
conflagration,3,0
conflict,0,1
confluence,1,0
conform,1,0
confound,1,0
confounded,1,0
confounding,1,0
confounds,1,1
confuse,2,0
confused,14,2
confusion,32,6
congratulated,1,1
congratulating,1,0
conjecture,2,3
conjectured,4,0
conjectures,4,3
conjure,2,0
conjured,1,1
conjuror,1,0
connected,1,1
connection,0,2
connexion,5,0
conquer,3,1
conquered,7,0
conquering,0,1
conquest,1,0
conrad,3,22
conscience,16,11
conscientious,0,1
conscious,37,3
consciousness,5,0
consecrated,3,1
consels,1,0
consent,22,14
consented,11,4
consequence,24,3
consequences,26,0
consequential,1,1
consequently,9,0
consider,25,2
considerable,11,3
considerably,5,0
consideration,6,1
considerations,2,0
considered,16,0
considering,2,2
consign,2,0
consigned,1,0
consigning,1,0
consist,3,0
consistent,0,1
consisting,1,0
consists,3,0
consolation,3,0
consolations,1,0
console,6,1
consoling,1,0
consort,2,0
conspicuous,1,0
conspire,0,1
conspired,0,1
constant,7,2
constantly,15,0
constellated,2,0
consternation,9,2
constituted,1,0
constitution,13,0
constitutions,1,0
constrain,0,1
constrained,2,0
constraint,5,0
constructed,1,0
construction,1,0
consult,2,1
consulted,3,0
consume,2,0
consumed,4,0
consuming,1,0
consummated,1,0
consummating,1,0
consumption,1,0
contact,3,3
contagious,1,0
contain,4,2
contained,8,0
containing,2,1
contains,3,0
contemplate,1,0
contemplating,1,0
contemplation,2,0
contempt,9,0
contemptible,0,1
contemptuous,3,0
contemptuously,0,1
contend,1,1
contended,3,0
contending,2,0
content,6,4
contented,12,1
contents,9,0
contest,2,1
contiguous,0,1
continence,1,0
contingent,0,1
continual,3,0
continually,6,0
continuance,2,0
continuation,1,0
continue,7,1
continued,78,19
continues,3,0
continuing,3,3
contours,1,0
contract,8,1
contracted,1,6
contradict,0,1
contradicted,3,0
contradiction,2,0
contradictions,0,3
contrary,13,4
contrast,1,0
contrasted,0,1
contribute,2,1
contributed,4,1
contributing,1,0
contributions,2,2
contrite,1,0
contrition,3,0
contrivance,0,1
contrived,7,2
controversy,0,1
conveniently,1,0
convent,109,21
